Name,First Name,Title,Constituency,Bio, Party
JOOMAYE,Zouberr Houssein Issa,Second Member for Rivière des Anguilles & Souillac,13,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Joomaye-Zouberr.aspx,MSM
JAHANGEER,Ahmad Bashir,Third Member for Rivière des Anguilles & Souillac,13,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Jahangeer-Bashir.aspx,MSM
GANOO,Alan,First Member for Savanne & Black River,14,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Ganoo-Alan.aspx,MP
LESJONGARD,Georges Pierre,Second Member for Savanne & Black River,14,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Lesjongard-Georges-Pierre.aspx,MSM
JHUBOO,Ezra Seewoosunkur,Third Member for Savanne & Black River,14,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Jhuboo-Ezra-Seewoosunk.aspx,PTr
BENYDIN,Toolsyraj,First Member for La Caverne & Phoenix,15,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Benydin-Toolsyraj.aspx,ML
SOODHUN,Showkutally,,15,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Soodhun-Showkutally.aspx,MSM
BOISSÉZON,Marie Cyril Eddy,Third Member for La Caverne & Phoenix,15,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Boissezon-Marie-Cyril-Eddy.aspx,ML
BODHA,Nandcoomar,,16,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Bodha-Nandcoomar.aspx,MSM
BABOO,Santaram,,16,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Santaram-Baboo.aspx,PMSD
SINATAMBOU,Marie Joseph Noël Etienne Ghislain,,16,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Sinatambou-Marie-Joseph-Noel-Etienne-Ghislain.aspx,MSM
DUVAL,Adrien Charles,First Member for Curepipe & Midlands,17,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Duval-Adrien-Charles.aspx,PMSD
TOUSSAINT,Jean Christophe Stephan,Second Member for Curepipe & Midlands,17,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Toussaint-Jean-Christophe-Stephan.aspx,MSM
SEWOCKSINGH,Malini,Third Member for Curepipe & Midlands,17,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Sewocksingh-Malini.aspx,PMSD
DUVAL,Charles Gaëtan Xavier-Luc,,18,"http://mauritiusassembly.govmu.org/English/hmembers/Pages/Duval-Charles-Ga%C3%ABtan-Xavier-Luc,-GCSK.aspx",PMSD
BHADAIN,Sudarshan,,18,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Bhadain-Sudarshan.aspx,Independent
RAMANO,Kavydass,Third Member for Belle Rose & Quatre Bornes,18,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Ramano-Kavydass.aspx,MMM
COLLENDAVELLOO,Ivan Leslie,,19,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Collendavelloo-Ivan-Leslie.aspx,ML
DAUREEAWOO,Fazila,,19,http://socialsecurity.govmu.org/English/AboutUs/Pages/The-Minister.aspx,MSM
BERENGER,Paul Raymond,The Leader of the Opposition,19,"http://mauritiusassembly.govmu.org/English/hmembers/Pages/B%C3%A9renger-Paul-Raymond,-GCSK.aspx",MMM
BHAGWAN,Rajesh Anand,First Member for Beau Bassin & Petite Rivière,20,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Bhagwan-Rajesh-Anand.aspx,MMM
GAYAN,Anil Kumarsingh,,20,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Gayan-Anil-Kumarsingh.aspx,ML
ALIPHON,Jean-Nel Alain,Third Member for Beau Bassin & Petite Rivière,20,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Aliphon-Jean-Nel-Alain.aspx,MSM
FRANCOIS,Jean Francisco,First Member for Rodrigues,21,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Fran%C3%A7ois-Jean-Francisco.aspx,OPR
LEOPOLD,Joseph Buisson,Second Member for Rodrigues,21,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Leopold-Joseph-Buisson.aspx,OPR
WONG YEN CHEONG,Marie Roland Alain,,1,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Wong-Yen-Cheong-Marie-Roland-Alain.aspx,PMSD
HENRY,Joseph Hugo Thierry,Fourth Member for Mahebourg & Plaine Magnien,12,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Henry-Joseph-Hugo-Thierry.aspx,PMSD
SOREFAN,Mohamud Raffick,Fourth Member for La Caverne & Phoenix,15,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Sorefan-Mohamud-Raffick.aspx,MMM
QUIRIN,Jean Patrice France,Fourth Member for Beau Bassin & Petite Rivière,20,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Quirin-Jean-Patrice-France.aspx,MMM
LEPOIGNEUR,Jean Claude Guy,Fifth Member for Beau Bassin & Petite Rivière,20,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Lepoigneur-Jean-Claude-Guy.aspx,PMSD
ABBAS MAMODE,Mohamad Salim,Fourth Member for Port Louis Maritime & Port Louis East,3,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Abbas-Mamode-Mohamad-Salim.aspx,PMSD
BARBIER,Jean-Claude,Fourth Member for GRNW & Port Louis West,1,http://mauritiusassembly.govmu.org/English/hmembers/Pages/Barbier-Jean-Claude.aspx,MP
